"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.github.arnaudroger.Seq2ListAccess.testIndexed","avgt",1,20,1811264.911373,5101.054894,"ns/op",1000000
"com.github.arnaudroger.Seq2ListAccess.testIndexed:·asm","avgt",1,1,NaN,NaN,"---",1000000
