# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.github.arnaudroger.Seq2ArrayAccess.testGet
# Parameters: (size = 10)

Iteration   4: 7.670 ns/op
Iteration   5: 7.615 ns/op
Iteration   6: 7.656 ns/op
Iteration   7: 7.658 ns/op
Iteration   8: 7.642 ns/op
Iteration   9: 7.669 ns/op
Iteration  10: 7.632 ns/op
Iteration  11: 7.644 ns/op
Iteration  12: 7.668 ns/op
Iteration  13: 7.636 ns/op
Iteration  14: 7.642 ns/op
Iteration  15: 7.629 ns/op
Iteration  16: 7.628 ns/op
Iteration  17: 7.633 ns/op
Iteration  18: 7.631 ns/op
Iteration  19: 7.629 ns/op
Iteration  20: 7.630 ns/op

# Run progress: 6.67% complete, ETA 00:37:36
# Fork: 5 of 10
# Warmup Iteration   1: 7.502 ns/op
# Warmup Iteration   2: 7.483 ns/op
# Warmup Iteration   3: 7.631 ns/op
# Warmup Iteration   4: 7.685 ns/op
# Warmup Iteration   5: 7.608 ns/op
# Warmup Iteration   6: 7.604 ns/op
# Warmup Iteration   7: 7.680 ns/op
# Warmup Iteration   8: 7.636 ns/op
# Warmup Iteration   9: 7.658 ns/op
# Warmup Iteration  10: 7.603 ns/op
# Warmup Iteration  11: 7.619 ns/op
# Warmup Iteration  12: 7.621 ns/op
# Warmup Iteration  13: 7.632 ns/op
# Warmup Iteration  14: 7.684 ns/op
# Warmup Iteration  15: 7.610 ns/op
# Warmup Iteration  16: 7.616 ns/op
# Warmup Iteration  17: 7.634 ns/op
# Warmup Iteration  18: 7.671 ns/op
# Warmup Iteration  19: 7.689 ns/op
# Warmup Iteration  20: 7.603 ns/op
Iteration   1: 7.607 ns/op
Iteration   2: 7.663 ns/op
Iteration   3: 7.611 ns/op
Iteration   4: 7.656 ns/op
Iteration   5: 7.583 ns/op
