# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.github.arnaudroger.Random2ArrayAccess.testGet
# Parameters: (size = 10)

Iteration   4: 21.881 ns/op
Iteration   5: 21.919 ns/op
Iteration   6: 21.918 ns/op
Iteration   7: 22.061 ns/op
Iteration   8: 21.890 ns/op
Iteration   9: 21.860 ns/op
Iteration  10: 21.859 ns/op
Iteration  11: 21.955 ns/op
Iteration  12: 22.124 ns/op
Iteration  13: 21.906 ns/op
Iteration  14: 21.918 ns/op
Iteration  15: 21.917 ns/op
Iteration  16: 21.850 ns/op
Iteration  17: 22.019 ns/op
Iteration  18: 21.872 ns/op
Iteration  19: 21.867 ns/op
Iteration  20: 21.861 ns/op

# Run progress: 6.67% complete, ETA 00:37:36
# Fork: 5 of 10
# Warmup Iteration   1: 21.901 ns/op
# Warmup Iteration   2: 22.147 ns/op
# Warmup Iteration   3: 21.698 ns/op
# Warmup Iteration   4: 21.837 ns/op
# Warmup Iteration   5: 21.685 ns/op
# Warmup Iteration   6: 21.720 ns/op
# Warmup Iteration   7: 21.890 ns/op
# Warmup Iteration   8: 21.729 ns/op
# Warmup Iteration   9: 21.696 ns/op
# Warmup Iteration  10: 21.700 ns/op
# Warmup Iteration  11: 21.727 ns/op
# Warmup Iteration  12: 21.849 ns/op
# Warmup Iteration  13: 21.685 ns/op
# Warmup Iteration  14: 21.790 ns/op
# Warmup Iteration  15: 21.847 ns/op
# Warmup Iteration  16: 21.861 ns/op
# Warmup Iteration  17: 21.985 ns/op
# Warmup Iteration  18: 21.776 ns/op
# Warmup Iteration  19: 21.799 ns/op
# Warmup Iteration  20: 21.954 ns/op
Iteration   1: 21.919 ns/op
Iteration   2: 22.097 ns/op
Iteration   3: 21.865 ns/op
Iteration   4: 21.924 ns/op
Iteration   5: 21.850 ns/op
Iteration   6: 21.914 ns/op
Iteration   7: 22.058 ns/op
Iteration   8: 21.901 ns/op
Iteration   9: 21.853 ns/op
Iteration  10: 21.912 ns/op
Iteration  11: 21.930 ns/op
Iteration  12: 22.059 ns/op
Iteration  13: 21.834 ns/op
Iteration  14: 21.869 ns/op
Iteration  15: 21.850 ns/op
Iteration  16: 21.933 ns/op
Iteration  17: 22.048 ns/op
Iteration  18: 21.951 ns/op
Iteration  19: 21.830 ns/op
Iteration  20: 21.942 ns/op

# Run progress: 8.33% complete, ETA 00:36:55
# Fork: 6 of 10
# Warmup Iteration   1: 22.302 ns/op
